date,cluster_name,datacenter,business_unit,storage_platform,usable_capacity_tb,raw_capacity_tb,daily_write_tb_estimate,net_new_storage_tb,starting_used_tb,starting_utilization_tier,used_capacity_tb,free_capacity_tb,capacity_utilization_pct
2013-08-12,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0225664522907262,0.001805316183258,915.0793755499424,Low,915.0811808661256,768.6315623749867,54.34900843623795
2013-08-13,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0248501616876634,0.001988012935013,915.0793755499424,Low,915.0831688790606,768.6295743620517,54.349126509403526
2013-08-14,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0227251603347186,0.0018180128267774,915.0793755499424,Low,915.0849868918874,768.6277563492249,54.34923448582848
2013-08-15,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0242902974297435,0.0019432237943794,915.0793755499424,Low,915.0869301156818,768.6258131254306,54.349349898852594
2013-08-16,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.02048062079209,0.0016384496633672,915.0793755499424,Low,915.0885685653452,768.6241746757671,54.34944721056269
2013-08-17,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0254483496750183,0.0020358679740014,915.0793755499424,Low,915.0906044333192,768.6221388077931,54.349568125961234
2013-08-18,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0290790692907395,0.0023263255432591,915.0793755499424,Low,915.0929307588624,768.6198124822499,54.34970629237665
2013-08-19,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.023356292473838,0.001868503397907,915.0793755499424,Low,915.0947992622604,768.6179439788519,54.34981726756559
2013-08-20,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0226791578425,0.0018143326274,915.0793755499424,Low,915.0966135948876,768.6161296462246,54.3499250254141
2013-08-21,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0233048090157348,0.0018643847212587,915.0793755499424,Low,915.098477979609,768.6142652615033,54.35003575598432
2013-08-22,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0229989159573601,0.0018399132765888,915.0793755499424,Low,915.1003178928856,768.6124253482268,54.350145033132925
2013-08-23,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0242867475135026,0.0019429398010802,915.0793755499424,Low,915.1022608326866,768.6104824084257,54.35026042928995
2013-08-24,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0242167361638821,0.0019373388931105,915.0793755499424,Low,915.1041981715798,768.6085450695325,54.350375492794754
2013-08-25,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0210860437975723,0.0016868835038057,915.0793755499424,Low,915.1058850550836,768.6068581860287,54.35047568111432
2013-08-26,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0242823931718865,0.0019425914537509,915.0793755499424,Low,915.1078276465372,768.604915594575,54.35059105658211
2013-08-27,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0245299785767483,0.0019623982861398,915.0793755499424,Low,915.1097900448236,768.6029531962888,54.35070760842826
2013-08-28,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0248668925446511,0.001989351403572,915.0793755499424,Low,915.111779396227,768.6009638448853,54.35082576108889
2013-08-29,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.044504243943919,0.0035603395155135,915.0793755499424,Low,915.1153397357424,768.5974035053698,54.35103721874578
2013-08-30,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0399539974075177,0.0031963197926014,915.0793755499424,Low,915.1185360555352,768.5942071855771,54.35122705634162
2013-08-31,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0211512352733448,0.0016920988218675,915.0793755499424,Low,915.120228154357,768.5925150867553,54.35132755441225
2013-09-01,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0225679279992295,0.0018054342399383,915.0793755499424,Low,915.122033588597,768.5907096525153,54.35143478376281
2013-09-02,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0241575976532137,0.001932607812257,915.0793755499424,Low,915.1239661964092,768.5887770447031,54.35154956627664
2013-09-03,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0218513266707917,0.0017481061336633,915.0793755499424,Low,915.1257143025427,768.5870289385695,54.35165339076456
2013-09-04,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0292829299423855,0.0023426343953908,915.0793755499424,Low,915.1280569369384,768.584686304174,54.35179252580436
2013-09-05,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0404702316658617,0.0032376185332689,915.0793755499424,Low,915.1312945554716,768.5814486856408,54.351984816237874
2013-09-06,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0266952661763422,0.0021356212941073,915.0793755499424,Low,915.1334301767656,768.5793130643467,54.35211165624088
2013-09-07,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0259858269166347,0.0020788661533307,915.0793755499424,Low,915.135509042919,768.5772341981933,54.35223512541112
