source_file,source_month_folder,trace_type,vm_id,timestamp_raw,timestamp_unit_detected,datetime,date,month,hour,cpu_cores,cpu_capacity_mhz,cpu_usage_mhz,cpu_usage_pct,memory_capacity_kb,memory_usage_kb,disk_read_kbps,disk_write_kbps,network_rx_kbps,network_tx_kbps
data\raw\fastStorage\2013-8\1.csv,2013-8,fastStorage,fastStorage_2013-8_1,1376314846.0,seconds,2013-08-12 13:40:46,2013-08-12,2013-08-01,13,4,11703.99824,10912.027692426667,93.23333333333332,67108864.0,6129274.4,0.1333333333333333,15981.6,0.0,2.1333333333333333
data\raw\fastStorage\2013-8\1.csv,2013-8,fastStorage,fastStorage_2013-8_1,1376315146.0,seconds,2013-08-12 13:45:46,2013-08-12,2013-08-01,13,4,11703.99824,10890.57036232,93.05,67108864.0,6755624.0,1.3333333333333333,19137.33333333333,0.0,2.6
data\raw\fastStorage\2013-8\1.csv,2013-8,fastStorage,fastStorage_2013-8_1,1376315446.0,seconds,2013-08-12 13:50:46,2013-08-12,2013-08-01,13,4,11703.99824,10434.11443096,89.15,67108864.0,8947846.4,2.533333333333333,19974.93333333333,535.6666666666666,23.933333333333334
data\raw\fastStorage\2013-8\1.csv,2013-8,fastStorage,fastStorage_2013-8_1,1376315746.0,seconds,2013-08-12 13:55:46,2013-08-12,2013-08-01,13,4,11703.99824,10539.450415120002,90.05,67108864.0,18790479.466666665,5.466666666666667,8791.8,349.6666666666667,5.466666666666667
data\raw\fastStorage\2013-8\1.csv,2013-8,fastStorage,fastStorage_2013-8_1,1376316046.0,seconds,2013-08-12 14:00:46,2013-08-12,2013-08-01,14,4,11703.99824,10951.041019893331,93.56666666666666,67108864.0,9305760.533333331,5.4,15679.533333333333,0.0,2.066666666666667
data\raw\fastStorage\2013-8\1.csv,2013-8,fastStorage,fastStorage_2013-8_1,1376316346.0,seconds,2013-08-12 14:05:46,2013-08-12,2013-08-01,14,4,11703.99824,10913.9783588,93.25,67108864.0,6352970.4,4.466666666666667,15553.733333333334,0.0,2.066666666666667
data\raw\fastStorage\2013-8\1.csv,2013-8,fastStorage,fastStorage_2013-8_1,1376316646.0,seconds,2013-08-12 14:10:46,2013-08-12,2013-08-01,14,4,11703.99824,10855.4583676,92.75,67108864.0,6129274.4,1.3333333333333333,19182.866666666665,0.0,2.6
data\raw\fastStorage\2013-8\1.csv,2013-8,fastStorage,fastStorage_2013-8_1,1376316946.0,seconds,2013-08-12 14:15:46,2013-08-12,2013-08-01,14,4,11703.99824,10157.11980594667,86.78333333333335,67108864.0,9753152.266666668,2.7333333333333334,16234.266666666666,502.6666666666667,24.466666666666665
data\raw\fastStorage\2013-8\1.csv,2013-8,fastStorage,fastStorage_2013-8_1,1376317246.0,seconds,2013-08-12 14:20:46,2013-08-12,2013-08-01,14,4,11703.99824,10477.029091173334,89.51666666666667,67108864.0,20937962.933333334,0.0,1.4,235.53333333333333,3.8666666666666663
data\raw\fastStorage\2013-8\1.csv,2013-8,fastStorage,fastStorage_2013-8_1,1376317546.0,seconds,2013-08-12 14:25:46,2013-08-12,2013-08-01,14,4,11703.99824,11128.551659866667,95.08333333333334,67108864.0,10111066.933333334,0.0,1.7333333333333334,0.0,1.3333333333333333
data\raw\fastStorage\2013-8\1.csv,2013-8,fastStorage,fastStorage_2013-8_1,1376317846.0,seconds,2013-08-12 14:30:46,2013-08-12,2013-08-01,14,4,11703.99824,11031.0183412,94.25,67108864.0,6308231.733333333,0.0,1.4,0.0,1.6
