cluster_name,model_name,mae,rmse,mape,selected_model_flag
FS-CLUSTER-01,exp_smoothing,0.0098199690390369,0.0107724437765341,0.0010730566239813,False
FS-CLUSTER-01,holt_linear,0.0016570561317459,0.0016949775317611,0.0001810715623089,True
FS-CLUSTER-01,moving_average_7d,0.0158947673538218,0.0165002237022127,0.0017368689814662,False
FS-CLUSTER-01,naive,0.009819969004135,0.0107724437447182,0.0010730566201674,False
FS-CLUSTER-02,exp_smoothing,0.0024750384165242,0.0027655943401376,0.0004609254863713,False
FS-CLUSTER-02,holt_linear,0.0001186668170833,0.0001362112999188,2.2099275876112983e-05,True
FS-CLUSTER-02,moving_average_7d,0.004315091940303,0.0044880636519771,0.0008035983642781,False
FS-CLUSTER-02,naive,0.0024750384074293,0.0027655943319982,0.0004609254846776,False
FS-CLUSTER-03,exp_smoothing,0.0023310017032339,0.002353036467636,0.0002235973375115,False
FS-CLUSTER-03,holt_linear,0.0025768763047316,0.0031877713719523,0.0002471823971718,False
FS-CLUSTER-03,moving_average_7d,0.0038923899913437,0.003905625624949,0.0003733708354831,False
FS-CLUSTER-03,naive,0.0023250275667773,0.002347118417085,0.0002230242787014,True
FS-CLUSTER-04,exp_smoothing,0.0006404088020579,0.0007148776863094,7.600606398385312e-05,False
FS-CLUSTER-04,holt_linear,0.0001540421436792,0.0001734137362832,1.8282286117941435e-05,True
FS-CLUSTER-04,moving_average_7d,0.0012221739819031,0.0012627889430426,0.0001450521008455,False
FS-CLUSTER-04,naive,0.0006393736930639,0.000713950552918,7.58832134313677e-05,False
FS-CLUSTER-05,exp_smoothing,0.0008002400445872,0.0008742392891696,0.0002796624307665,False
FS-CLUSTER-05,holt_linear,0.0006016702269237,0.000705350780297,0.0002102675785993,True
FS-CLUSTER-05,moving_average_7d,0.0018434544518624,0.0018767617115282,0.0006442380812801,False
FS-CLUSTER-05,naive,0.0007980174309279,0.0008722052658816,0.0002788856864893,False
FS-CLUSTER-06,exp_smoothing,0.0011099259052766,0.0012411488731628,0.0001027959654016,False
FS-CLUSTER-06,holt_linear,4.868179179798712e-05,5.500717065285913e-05,4.508672045199233e-06,True
FS-CLUSTER-06,moving_average_7d,0.0020408694525225,0.0021151035748608,0.0001890154732573,False
FS-CLUSTER-06,naive,0.0011076663404959,0.0012391286180284,0.0001025866953938,False
FS-CLUSTER-07,exp_smoothing,0.0002130850698936,0.0002377188140733,2.456721756806324e-05,False
FS-CLUSTER-07,holt_linear,1.319516786679742e-05,1.5447336664782393e-05,1.521310519729996e-06,True
FS-CLUSTER-07,moving_average_7d,0.000378542903653,0.0003929372945635,4.364334921149845e-05,False
FS-CLUSTER-07,naive,0.0002127640075773,0.0002374310646761,2.453020132729596e-05,False
